Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,3166.26,3169.20,3158.15,3167.43,245359800,3167.43
2013-12-30,3159.68,3164.86,3150.26,3153.29,107880500,3153.29
2013-12-27,3144.87,3154.82,3142.37,3149.76,174566000,3149.76
2013-12-26,3131.94,3138.15,3130.23,3134.36,61807500,3134.36
2013-12-24,3124.47,3131.80,3115.41,3127.29,78827000,3127.29
2013-12-23,3101.92,3116.22,3096.92,3116.22,122500700,3116.22
2013-12-20,3072.41,3094.48,3070.42,3094.48,205590900,3094.48
2013-12-19,3083.44,3084.19,3056.45,3070.23,217061800,3070.23
2013-12-18,3058.82,3070.10,3056.91,3061.78,167996300,3061.78
2013-12-17,3073.07,3077.71,3063.38,3067.57,154936200,3067.57
2013-12-16,3053.69,3062.88,3049.20,3053.77,134780500,3053.77
2013-12-13,3044.28,3070.35,3038.67,3066.02,274630600,3066.02
2013-12-12,3034.00,3063.03,3025.41,3059.04,282117300,3059.04
2013-12-11,3077.16,3082.43,3056.44,3060.74,261782600,3060.74
2013-12-10,3115.46,3116.86,3081.60,3081.72,230807800,3081.72
2013-12-09,3122.14,3126.01,3108.18,3113.64,191952600,3113.64
2013-12-06,3113.61,3119.74,3098.80,3114.17,198084400,3114.17
2013-12-05,3143.39,3152.05,3120.84,3124.38,294429300,3124.38
2013-12-04,3176.23,3187.53,3151.75,3160.70,193234700,3160.70
2013-12-03,3181.90,3197.09,3181.11,3187.67,183443000,3187.67
2013-12-02,3177.87,3188.93,3174.81,3188.76,162639300,3188.76
2013-11-29,3178.27,3181.07,3169.73,3176.35,224993100,3176.35
2013-11-28,3178.73,3199.89,3174.57,3186.37,139233600,3186.37
2013-11-27,3175.12,3177.91,3163.12,3172.06,192118400,3172.06
2013-11-26,3178.13,3182.24,3168.60,3173.51,299990500,3173.51
2013-11-25,3185.62,3185.62,3174.45,3180.65,179843100,3180.65
2013-11-22,3175.98,3177.75,3162.47,3172.85,169080600,3172.85
2013-11-21,3175.70,3176.76,3158.40,3172.38,275688100,3172.38
2013-11-20,3197.39,3202.18,3182.25,3184.23,184427500,3184.23
2013-11-19,3204.20,3206.92,3188.58,3192.08,171544800,3192.08
2013-11-18,3215.38,3218.55,3202.33,3203.03,238039100,3203.03
2013-11-15,3192.47,3202.79,3189.35,3201.27,346700800,3201.27
2013-11-14,3180.37,3196.59,3180.00,3191.08,254333000,3191.08
2013-11-13,3185.36,3185.38,3163.01,3166.74,261981100,3166.74
2013-11-12,3186.13,3189.04,3180.25,3180.25,190563800,3180.25
2013-11-11,3184.09,3190.83,3175.72,3186.72,160023100,3186.72
2013-11-08,3190.95,3193.79,3173.49,3177.25,217921000,3177.25
2013-11-07,3215.35,3217.36,3198.63,3202.10,179443800,3202.10
2013-11-06,3206.35,3212.07,3199.79,3205.29,214266300,3205.29
2013-11-05,3213.86,3217.00,3200.56,3205.54,215180600,3205.54
2013-11-04,3207.22,3212.40,3200.34,3203.94,135785900,3203.94
2013-11-01,3212.13,3213.94,3194.96,3201.20,221917100,3201.20
2013-10-31,3218.48,3227.53,3210.67,3210.67,385770200,3210.67
2013-10-30,3215.29,3230.44,3204.48,3230.44,253572700,3230.44
2013-10-29,3205.37,3213.71,3198.42,3208.82,151009500,3208.82
2013-10-28,3216.75,3218.40,3204.75,3207.85,187856000,3207.85
2013-10-25,3220.53,3221.94,3202.36,3205.24,218928500,3205.24
2013-10-24,3201.97,3221.89,3199.38,3217.95,167528000,3217.95
2013-10-23,3220.95,3235.25,3198.96,3204.80,304245900,3204.80
2013-10-22,3202.87,3214.24,3199.40,3210.21,282212600,3210.21
2013-10-21,3206.01,3208.87,3193.29,3195.76,274733300,3195.76
2013-10-18,3201.47,3203.09,3188.59,3192.90,205491000,3192.90
2013-10-17,3195.90,3203.91,3184.57,3186.62,187364600,3186.62
2013-10-16,3179.57,3185.64,3164.93,3174.03,201059100,3174.03
2013-10-14,3180.69,3183.38,3155.31,3165.25,83317900,3165.25
2013-10-11,3193.13,3197.17,3179.71,3179.71,176447400,3179.71
2013-10-10,3167.92,3176.77,3161.91,3169.91,213875200,3169.91
2013-10-09,3135.72,3162.74,3132.94,3154.84,190084700,3154.84
2013-10-08,3125.29,3152.44,3122.38,3146.50,172434400,3146.50
2013-10-07,3146.05,3147.48,3132.64,3136.59,140126800,3136.59
2013-10-04,3134.24,3148.80,3131.14,3138.08,163119400,3138.08
2013-10-03,3147.32,3155.06,3135.60,3144.79,138347900,3144.79
2013-10-02,3193.07,3193.62,3150.04,3152.58,229397400,3152.58
2013-10-01,3180.72,3198.50,3176.70,3181.50,177359300,3181.50
2013-09-30,3195.84,3201.84,3167.87,3167.87,314512600,3167.87
2013-09-27,3210.25,3220.30,3206.48,3210.18,160284700,3210.18
2013-09-26,3198.45,3202.69,3183.26,3194.31,169918700,3194.31
2013-09-25,3219.03,3232.34,3200.56,3208.58,165666500,3208.58
2013-09-24,3213.57,3229.61,3207.02,3211.75,203841200,3211.75
2013-09-23,3219.80,3220.73,3203.08,3214.25,152754900,3214.25
2013-09-20,3251.96,3252.12,3230.04,3237.53,211632400,3237.53
2013-09-19,3255.68,3260.14,3241.79,3251.78,338611800,3251.78
2013-09-18,3195.03,3204.39,3189.60,3193.85,223700800,3193.85
2013-09-17,3183.81,3188.70,3176.75,3180.92,202910200,3180.92
2013-09-16,3151.40,3181.72,3147.21,3179.48,320816200,3179.48
2013-09-13,3133.54,3136.04,3111.37,3120.30,287086400,3120.30
2013-09-12,3123.37,3130.66,3116.51,3121.08,381193300,3121.08
2013-09-11,3133.46,3136.53,3099.14,3108.19,182646400,3108.19
2013-09-10,3109.83,3125.50,3093.95,3123.89,257073400,3123.89
2013-09-09,3072.35,3093.41,3071.32,3088.20,232009100,3088.20
2013-09-06,3045.12,3051.34,3036.01,3048.35,204616400,3048.35
2013-09-05,3031.41,3057.18,3029.41,3039.45,211893800,3039.45
2013-09-04,3040.16,3041.55,3015.42,3015.42,254306100,3015.42
2013-09-03,3050.12,3062.79,3049.33,3054.78,185068400,3054.78
2013-09-02,3037.59,3057.16,3032.10,3055.72,151341400,3055.72
2013-08-30,3036.46,3045.21,3018.91,3028.94,497304600,3028.94
2013-08-29,3015.93,3041.76,3011.93,3038.03,430075400,3038.03
2013-08-28,3007.94,3012.34,2990.68,3004.18,383736900,3004.18
2013-08-27,3065.88,3077.58,3027.65,3034.02,370900600,3034.02
2013-08-26,3090.36,3109.58,3082.56,3084.41,468795900,3084.41
2013-08-23,3092.00,3102.01,3085.49,3088.85,278172800,3088.85
2013-08-22,3074.70,3099.05,3054.77,3089.40,357640600,3089.40
